,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
1430,ViKin.gg vs Team Bald Reborn,1.10-6.60,1.03-10.00,-,10 Мая 19:00 2021,DreamLeague Season 15 DPC Western Europe Нижний дивизион,Team Bald Reborn,"['Gorgc', 'Xcalibur', 'Rajjix', '5up', 'Pablo']",ViKin.gg,"['Shad', 'BOOM', 'KheZu', 'Aramis', 'Seleri']","['Enchantress', 'Grimstroke', 'Viper', 'Shadow Fiend', 'Puck', 'Medusa', 'Drow Ranger']","['Timbersaw', 'Pangolier', 'Alchemist', 'Lina', 'Lifestealer', 'Morphling', 'Axe']","['Bristleback', 'Leshrac', 'Hoodwink', 'Earth Spirit', 'Dark Willow']","['Anti-Mage', 'Tiny', 'Centaur Warrunner', 'Shadow Demon', 'Elder Titan']",,"<span class=""team__title-label"">Победа</span>",12 : 15
1431,ViKin.gg vs Team Bald Reborn,1.10-6.60,1.03-10.00,-,10 Мая 19:00 2021,DreamLeague Season 15 DPC Western Europe Нижний дивизион,Team Bald Reborn,"['Gorgc', 'Xcalibur', 'Rajjix', '5up', 'Pablo']",ViKin.gg,"['Shad', 'BOOM', 'KheZu', 'Aramis', 'Seleri']","['Grimstroke', 'Enchantress', 'Shadow Fiend', 'Tiny', 'Razor', 'Puck', 'Lina']","['Pangolier', 'Timbersaw', 'Lifestealer', 'Ursa', 'Slark', 'Morphling', 'Viper']","['Juggernaut', 'Axe', 'Mars', 'Hoodwink', 'Nyx Assassin']","['Phantom Assassin', 'Ember Spirit', 'Tidehunter', 'Earth Spirit', 'Snapfire']",,"<span class=""team__title-label"">Победа</span>",25 : 44
1432,HellRaisers vs Brame,1.85-1.88,7.00-1.08,-,10 Мая 16:20 2021,Pinnacle Cup,HellRaisers,"['Cooman', 'Resolut1on', 'young G', 'Zayac', 'lil me alone']",Brame,"['Focus', 'W1sh-', 'SkyLark', 'CTOMAHEH1', 'SsaSpartan']","['Lina', 'Elder Titan', 'Lifestealer', 'Wraith King', 'Puck', 'Templar Assassin', 'Dragon Knight']","['Enchantress', 'Axe', 'Ember Spirit', 'Phantom Assassin', 'Medusa', 'Phantom Lancer', 'Morphling']","['Ursa', 'Doom', 'Storm Spirit', 'Nyx Assassin', 'Grimstroke']","['Bristleback', 'Tiny', 'Beastmaster', 'Rubick', 'Keeper of the Light']",,"<span class=""team__title-label"">Победа</span>",16 : 35
1433,HellRaisers vs Brame,1.85-1.88,7.00-1.08,-,10 Мая 16:20 2021,Pinnacle Cup,Brame,"['Focus', 'W1sh-', 'SkyLark', 'CTOMAHEH1', 'SsaSpartan']",HellRaisers,"['Cooman', 'Resolut1on', 'young G', 'Zayac', 'lil me alone']","['Enchantress', 'Axe', 'Lifestealer', 'Puck', 'Medusa', 'Juggernaut', 'Ursa']","['Elder Titan', 'Lina', 'Bristleback', 'Phantom Lancer', 'Phantom Assassin', 'Rubick', 'Shadow Demon']","['Wraith King', 'Invoker', 'Centaur Warrunner', 'Skywrath Mage', 'Keeper of the Light']","['Troll Warlord', 'Doom', 'Ember Spirit', 'Enigma', 'Grimstroke']","<span class=""team__title-label"">Победа</span>",,29 : 31
1434,Fantastic Five vs B8,2.41-1.53,1.55-2.35,-,10 Мая 16:00 2021,ESL One Eastern Europe Online Season 2: Нижний дивизион,Fantastic Five,"['Rari', 'Askold', 'SuperNova', 'Le don', '633']",B8,"['watson', 'Dendi', 'Limitless', 'TSA', 'Nofear']","['Io', 'Enchantress', 'Centaur Warrunner', 'Magnus', 'Slardar', 'Phantom Assassin', 'Ursa']","['Grimstroke', 'Snapfire', 'Juggernaut', 'Medusa', 'Dark Seer', 'Timbersaw', 'Mars']","['Sven', 'Puck', 'Necrophos', 'Dark Willow', 'Ancient Apparition']","['Spectre', 'Shadow Fiend', 'Beastmaster', 'Lina', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,27 : 14
1435,Fantastic Five vs B8,2.41-1.53,1.55-2.35,-,10 Мая 16:00 2021,ESL One Eastern Europe Online Season 2: Нижний дивизион,Fantastic Five,"['Rari', 'Askold', 'SuperNova', 'Le don', '633']",B8,"['watson', 'Dendi', 'Limitless', 'TSA', 'Nofear']","['Io', 'Enchantress', 'Tidehunter', 'Timbersaw', 'Phantom Lancer', 'Lifestealer', 'Wraith King']","['Snapfire', 'Ancient Apparition', 'Medusa', 'Sven', 'Juggernaut', 'Underlord', 'Mars']","['Phantom Assassin', 'Puck', 'Slardar', 'Dark Willow', 'Grimstroke']","['Morphling', 'Leshrac', 'Beastmaster', 'Clockwerk', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,41 : 28
1436,Level UP vs PuckChamp,2.17-1.64,1.12-5.55,-,10 Мая 13:10 2021,Pinnacle Cup,Level UP,"['No!ob', 'Funn1k', 'RdO-', 'LeBron', 'dnz']",PuckChamp,"['cridoz (fan)', 'krylat', 'meLes', 'Astral', 'Dukalis']","['Grimstroke', 'Storm Spirit', 'Puck', 'Timbersaw', 'Dark Seer', 'Void Spirit', 'Dragon Knight']","['Lina', 'Snapfire', 'Razor', 'Slardar', 'Phantom Assassin', 'Lycan', 'Viper']","['Mars', 'Broodmother', 'Terrorblade', 'Jakiro', 'Mirana']","['Tiny', 'Lifestealer', 'Batrider', 'Nyx Assassin', 'Ancient Apparition']","<span class=""team__title-label"">Победа</span>",,16 : 4
1437,Level UP vs PuckChamp,2.17-1.64,1.12-5.55,-,10 Мая 13:10 2021,Pinnacle Cup,PuckChamp,"['cridoz (fan)', 'krylat', 'meLes', 'Astral', 'Dukalis']",Level UP,"['No!ob', 'Funn1k', 'RdO-', 'dnz', 'LeBron']","['Broodmother', 'Mirana', 'Lifestealer', 'Troll Warlord', 'Huskar', 'Centaur Warrunner', 'Magnus']","['Mars', 'Ancient Apparition', 'Storm Spirit', 'Lycan', 'Wraith King', 'Medusa', 'Morphling']","['Puck', 'Juggernaut', 'Dark Seer', 'Earth Spirit', 'Enchantress']","['Void Spirit', 'Brewmaster', 'Bloodseeker', 'Grimstroke', 'Oracle']","<span class=""team__title-label"">Победа</span>",,39 : 40
1438,Level UP vs PuckChamp,2.17-1.64,1.12-5.55,-,10 Мая 13:10 2021,Pinnacle Cup,PuckChamp,"['cridoz (fan)', 'krylat', 'meLes', 'Astral', 'Dukalis']",Level UP,"['No!ob', 'Funn1k', 'RdO-', 'dnz', 'LeBron']","['Broodmother', 'Mirana', 'Puck', 'Void Spirit', 'Slardar', 'Pangolier', 'Timbersaw']","['Mars', 'Dark Seer', 'Razor', 'Morphling', 'Troll Warlord', 'Pugna', 'Storm Spirit']","['Lina', 'Phantom Assassin', 'Centaur Warrunner', 'Snapfire', 'Oracle']","['Viper', 'Axe', 'Lifestealer', 'Keeper of the Light', 'Grimstroke']",,"<span class=""team__title-label"">Победа</span>",11 : 31
1439,496 Gaming vs Army Geniuses,1.57-2.30,1.15-5.00,-,10 Мая 13:06 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Нижний Дивизион,Army Geniuses,"['►懒惰之神♂', 'stan mygirl', 'ridiculous', 'Mamang Daya', 'you_K']",496 Gaming,"['DatBB', 'Drew', 'Htz', 'Yasy', 'Bombi']","['Centaur Warrunner', 'Puck', 'Troll Warlord', 'Phantom Lancer', 'Storm Spirit', 'Medusa', 'Lifestealer']","['Beastmaster', 'Io', 'Timbersaw', 'Pugna', 'Huskar', 'Morphling', 'Meepo']","['Juggernaut', 'Mirana', 'Dragon Knight', 'Viper', 'Snapfire']","['Axe', 'Ursa', 'Void Spirit', 'Clockwerk', 'Phoenix']","<span class=""team__title-label"">Победа</span>",,45 : 24
