match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
Aster.Aries vs Vici Gaming,7.85-1.09,1.37-2.95,-,25 Августа 11:06 2021,i-League 2021 Season 2,Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']",Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']","['Omniknight', 'Lina', 'Tidehunter', 'Abaddon', 'Monkey King', 'Bloodseeker', 'Clinkz']","['Nyx Assassin', 'Keeper of the Light', 'Night Stalker', 'Beastmaster', 'Batrider', 'Mars', 'Slardar']","['Magnus', 'Queen of Pain', 'Pangolier', 'Earthshaker', 'Silencer']","['Sven', 'Void Spirit', 'Lycan', 'Skywrath Mage', 'Lion']",,"<span class=""team__title-label"">Победа</span>",27 : 36
Aster.Aries vs Vici Gaming,7.85-1.09,1.37-2.95,-,25 Августа 11:06 2021,i-League 2021 Season 2,Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Lina', 'Omniknight', 'Monkey King', 'Night Stalker', 'Juggernaut', 'Legion Commander', 'Slardar']","['Nyx Assassin', 'Shadow Demon', 'Pangolier', 'Terrorblade', 'Medusa', 'Razor', 'Slark']","['Luna', 'Void Spirit', 'Batrider', 'Sand King', 'Disruptor']","['Troll Warlord', 'Templar Assassin', 'Tidehunter', 'Keeper of the Light', 'Ogre Magi']",,"<span class=""team__title-label"">Победа</span>",18 : 33
Aster.Aries vs Vici Gaming,7.85-1.09,1.37-2.95,-,25 Августа 11:06 2021,i-League 2021 Season 2,Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Keeper of the Light', 'Nyx Assassin', 'Lycan', 'Night Stalker', 'Beastmaster', 'Sand King', 'Dragon Knight']","['Omniknight', 'Lina', 'Anti-Mage', 'Sven', 'Void Spirit', 'Medusa', 'Monkey King']","['Bloodseeker', 'Leshrac', 'Mars', 'Lion', 'Silencer']","['Spectre', 'Storm Spirit', 'Legion Commander', 'Skywrath Mage', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,41 : 28
Team MagMa vs Team Aster,5.60-1.15,12.60-1.01,-,25 Августа 08:10 2021,i-League 2021 Season 2,Team MagMa,"['白也', 'Dust', 'Tzy', 'mianmian', 'Kazz']",Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']","['Storm Spirit', 'Keeper of the Light', 'Monkey King', 'Ursa', 'Morphling', 'Razor', 'Outworld Destroyer']","['Lina', 'Abaddon', 'Winter Wyvern', 'Timbersaw', 'Lifestealer', 'Templar Assassin', 'Death Prophet']","['Bloodseeker', 'Magnus', 'Batrider', 'Nyx Assassin', 'Hoodwink']","['Sven', 'Queen of Pain', 'Legion Commander', 'Pangolier', 'Chen']",,"<span class=""team__title-label"">Победа</span>",14 : 33
Team MagMa vs Team Aster,5.60-1.15,12.60-1.01,-,25 Августа 08:10 2021,i-League 2021 Season 2,Team MagMa,"['白也', 'Dust', 'Tzy', 'mianmian', 'Kazz']",Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']","['Nyx Assassin', 'Lina', 'Monkey King', 'Night Stalker', 'Pangolier', 'Razor', 'Morphling']","['Clockwerk', 'Timbersaw', 'Riki', 'Bounty Hunter', 'Tidehunter', 'Centaur Warrunner', 'Batrider']","['Lifestealer', 'Shadow Fiend', 'Sand King', 'Earthshaker', 'Silencer']","['Clinkz', 'Storm Spirit', 'Lycan', 'Keeper of the Light', 'Shadow Demon']",,"<span class=""team__title-label"">Победа</span>",10 : 27
Virtus.pro vs T1,1.93-1.88,1.65(2.70)7.50,-,24 Августа 21:50 2021,ESL One Fall 2021,T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']",Virtus.pro,"['Nightfall', 'gpk', 'DM', 'Save-', 'Kingslayer']","['Winter Wyvern', 'Templar Assassin', 'Beastmaster', 'Puck', 'Snapfire', 'Legion Commander', 'Tidehunter']","['Magnus', 'Pangolier', 'Medusa', 'Terrorblade', 'Bloodseeker', 'Kunkka', 'Viper']","['Phantom Lancer', 'Lina', 'Sand King', 'Elder Titan', 'Phoenix']","['Clinkz', 'Leshrac', 'Lycan', 'Lion', 'Vengeful Spirit']",,"<span class=""team__title-label"">Победа</span>",36 : 27
Virtus.pro vs T1,1.93-1.88,1.65(2.70)7.50,-,24 Августа 21:50 2021,ESL One Fall 2021,T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']",Virtus.pro,"['Nightfall', 'gpk', 'DM', 'Save-', 'Kingslayer']","['Winter Wyvern', 'Lina', 'Leshrac', 'Faceless Void', 'Sand King', 'Templar Assassin', 'Razor']","['Magnus', 'Lion', 'Void Spirit', 'Doom', 'Pangolier', 'Keeper of the Light', 'Ember Spirit']","['Slark', 'Kunkka', 'Omniknight', 'Crystal Maiden', 'Enchantress']","['Terrorblade', 'Viper', 'Beastmaster', 'Shadow Demon', 'Phoenix']",,"<span class=""team__title-label"">Победа</span>",14 : 26
Thunder Predator vs Team Spirit,1.83-1.99,5.50(2.45)1.92,-,24 Августа 21:50 2021,ESL One Fall 2021,Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']",Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'MoOz', 'Mjz']","['Mars', 'Slark', 'Sven', 'Medusa', 'Monkey King', 'Leshrac', 'Batrider']","['Magnus', 'Keeper of the Light', 'Ursa', 'Viper', 'Faceless Void', 'Invoker', 'Puck']","['Terrorblade', 'Razor', 'Axe', 'Phoenix', 'Hoodwink']","['Luna', 'Snapfire', 'Tidehunter', 'Lion', 'Omniknight']","<span class=""team__title-label"">Победа</span>",,17 : 5
Thunder Predator vs Team Spirit,1.83-1.99,5.50(2.45)1.92,-,24 Августа 21:50 2021,ESL One Fall 2021,Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'MoOz', 'Mjz']",Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']","['Magnus', 'Axe', 'Tidehunter', 'Phoenix', 'Juggernaut', 'Anti-Mage', 'Phantom Lancer']","['Mars', 'Omniknight', 'Ember Spirit', 'Medusa', 'Monkey King', 'Kunkka', 'Puck']","['Doom', 'Morphling', 'Sand King', 'Mirana', 'Pangolier']","['Faceless Void', 'Void Spirit', 'Bloodseeker', 'Rubick', 'Chen']",,"<span class=""team__title-label"">Победа</span>",23 : 40
Creepwave vs Tundra Esports,2.36-1.60,16.00(3.60)1.30,-,24 Августа 21:50 2021,ESL One Fall 2021,Tundra Esports,"['FATA-', 'Skiter', 'Nine', '33', 'Sneyking']",Creepwave,"['---', 'Fishman', 'ATF', 'Crystallis', 'Chuvash']","['Monkey King', 'Invoker', 'Slark', 'Razor', 'Morphling', 'Winter Wyvern', 'Shadow Demon']","['Pangolier', 'Gyrocopter', 'Keeper of the Light', 'Leshrac', 'Batrider', 'Slardar', 'Beastmaster']","['Omniknight', 'Sven', 'Mars', 'Doom', 'Mirana']","['Void Spirit', 'Rubick', 'Timbersaw', 'Lifestealer', 'Tidehunter']","<span class=""team__title-label"">Победа</span>",,37 : 15
