,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
781,Natus Vincere vs jfshfh178,1.28-3.44,-,1.29-3.45,07 Декабря 15:10 2019,World Electronic Sports Games 2019-2020 | Квалификация,jfshfh178,"['Palantimos', 'Pikachu', 'Petushara', 'Bignum', 'HappyDyurara']",Natus Vincere,"['only ruin', 'Crystallize', 'MagicaL', '9pasha', 'Mag']","['Templar Assassin', 'Viper', 'Tiny', 'Terrorblade', 'Timbersaw', 'Brewmaster']","['Chaos Knight', 'Beastmaster', 'Treant Protector', 'Centaur Warrunner', 'Luna', 'Meepo']","['Razor', 'Kunkka', 'Slardar', 'Crystal Maiden', 'Sven']","['Disruptor', 'Ursa', 'Shadow Fiend', 'Vengeful Spirit', 'Doom']",,"<span class=""team__title-label"">Победа</span>",13 : 24
782,Natus Vincere vs jfshfh178,1.28-3.44,-,1.29-3.45,07 Декабря 15:10 2019,World Electronic Sports Games 2019-2020 | Квалификация,Natus Vincere,"['only ruin', 'Crystallize', 'MagicaL', 'Mag', '9pasha']",jfshfh178,"['Palantimos', 'Pikachu', 'Petushara', 'Bignum', 'HappyDyurara']","['Viper', 'Beastmaster', 'Chaos Knight', 'Razor', 'Wraith King', 'Luna']","['Templar Assassin', 'Vengeful Spirit', 'Shadow Fiend', 'Ursa', 'Timbersaw', 'Death Prophet']","['Disruptor', 'Gyrocopter', 'Underlord', 'Puck', 'Doom']","['Tiny', 'Lone Druid', 'Abaddon', 'Earth Spirit', 'Crystal Maiden']","<span class=""team__title-label"">Победа</span>",,28 : 15
783,J.Storm vs Fighting PandaS,1.86-1.96,-,2.35-1.55,07 Декабря 00:34 2019,WePlay! Bukovel Minor | Квалификации,Fighting PandaS,"['EternaLEnVy', 'bryle', 'MoonMeander', 'Sneyking', 'Aui_2000']",J.Storm,"['Fear', 'Nine', 'Moo', 'brax', 'MoOz']","['Ursa', 'Bristleback', 'Batrider', 'Omniknight', 'Venomancer', 'Timbersaw']","['Storm Spirit', 'Meepo', 'Alchemist', 'Doom', 'Razor', 'Abaddon']","['Sven', 'Ember Spirit', 'Crystal Maiden', 'Tidehunter', 'Puck']","['Vengeful Spirit', 'Templar Assassin', 'Monkey King', 'Beastmaster', 'Earth Spirit']","<span class=""team__title-label"">Победа</span>",,34 : 12
784,J.Storm vs Fighting PandaS,1.86-1.96,-,2.35-1.55,07 Декабря 00:34 2019,WePlay! Bukovel Minor | Квалификации,Fighting PandaS,"['EternaLEnVy', 'bryle', 'MoonMeander', 'Sneyking', 'Aui_2000']",J.Storm,"['Fear', 'Nine', 'brax', 'Moo', 'MoOz']","['Alchemist', 'Bristleback', 'Timbersaw', 'Batrider', 'Doom', 'Venomancer']","['Shadow Fiend', 'Omniknight', 'Queen of Pain', 'Drow Ranger', 'Abaddon', 'Puck']","['Sven', 'Lina', 'Ogre Magi', 'Underlord', 'Grimstroke']","['Crystal Maiden', 'Razor', 'Sand King', 'Troll Warlord', 'Elder Titan']","<span class=""team__title-label"">Победа</span>",,19 : 26
785,J.Storm vs Fighting PandaS,1.86-1.96,-,2.35-1.55,07 Декабря 00:34 2019,WePlay! Bukovel Minor | Квалификации,J.Storm,"['Fear', 'Nine', 'brax', 'Moo', 'MoOz']",Fighting PandaS,"['EternaLEnVy', 'bryle', 'Sneyking', 'MoonMeander', 'Aui_2000']","['Visage', 'Shadow Fiend', 'Terrorblade', 'Puck', 'Doom', 'Venomancer']","['Elder Titan', 'Bristleback', 'Tusk', 'Timbersaw', 'Abaddon', 'Sven']","['Disruptor', 'Razor', 'Naga Siren', 'Morphling', 'Spirit Breaker']","['Alchemist', 'Queen of Pain', 'Omniknight', 'Vengeful Spirit', 'Crystal Maiden']",,"<span class=""team__title-label"">Победа</span>",25 : 24
786,FURIA Esports vs Gorillaz-Pride,1.33-3.06,-,1.34-3.09,06 Декабря 22:06 2019,WePlay! Bukovel Minor | Квалификации,Gorillaz-Pride,"['Yadomi', 'never doubt it', 'zs', 'Mr.Jeans', 'Drakeel']",FURIA Esports,"['21 21 21', 'RdO-', 'Hyko', 'Duster']","['Magnus', 'Puck', 'Night Stalker', 'Winter Wyvern', 'Elder Titan', 'Invoker']","['Viper', 'Venomancer', 'Bloodseeker', 'Timbersaw', 'Troll Warlord', 'Leshrac']","['Sand King', 'Ursa', 'Rubick', 'Ember Spirit', 'Dazzle']","['Kunkka', 'Naga Siren', 'Crystal Maiden', 'Disruptor']",,"<span class=""team__title-label"">Победа</span>",14 : 32
787,FURIA Esports vs Gorillaz-Pride,1.33-3.06,-,1.34-3.09,06 Декабря 22:06 2019,WePlay! Bukovel Minor | Квалификации,Gorillaz-Pride,"['never doubt it', 'Yadomi', 'zs', 'Mr.Jeans', 'Drakeel']",FURIA Esports,"['21 21 21', 'Hyko', 'RdO-', 'Duster']","['Magnus', 'Puck', 'Night Stalker', 'Terrorblade', 'Naga Siren', 'Invoker']","['Viper', 'Venomancer', 'Bloodseeker', 'Timbersaw', 'Ursa', 'Omniknight']","['Alchemist', 'Sand King', 'Crystal Maiden', 'Leshrac', 'Abaddon']","['Lina', 'Rubick', 'Lifestealer', 'Winter Wyvern']",,"<span class=""team__title-label"">Победа</span>",8 : 35
788,FURIA Esports vs Gorillaz-Pride,1.33-3.06,-,1.34-3.09,06 Декабря 22:06 2019,WePlay! Bukovel Minor | Квалификации,FURIA Esports,"['21 21 21', 'Hyko', 'RdO-', 'Duster', 'zs']",Gorillaz-Pride,"['never doubt it', 'Yadomi', 'Mr.Jeans', 'Drakeel']","['Viper', 'Venomancer', 'Bloodseeker', 'Dazzle', 'Lina', 'Juggernaut']","['Magnus', 'Night Stalker', 'Puck', 'Ursa', 'Naga Siren', 'Invoker']","['Ember Spirit', 'Rubick', 'Terrorblade', 'Winter Wyvern', 'Ancient Apparition']","['Sven', 'Tiny', 'Storm Spirit', 'Timbersaw']","<span class=""team__title-label"">Победа</span>",,21 : 13
789,ViKin.gg vs Team Nigma,7.59-1.09,-,8.22-1.06,06 Декабря 19:12 2019,WePlay! Bukovel Minor | Квалификации,ViKin.gg,"['Shad', 'Tobi', 'TANNER', 'Aramis', 'Seleri']",Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Rubick', 'Io', ""Nature's Prophet"", 'Invoker', 'Huskar', 'Shadow Fiend']","['Tiny', 'Winter Wyvern', 'Chen', 'Drow Ranger', 'Venomancer', 'Outworld Destroyer']","['Gyrocopter', 'Beastmaster', 'Kunkka', 'Tusk', 'Crystal Maiden']","['Ursa', 'Storm Spirit', 'Underlord', 'Elder Titan', 'Vengeful Spirit']",,"<span class=""team__title-label"">Победа</span>",16 : 29
790,ViKin.gg vs Team Nigma,7.59-1.09,-,8.22-1.06,06 Декабря 19:12 2019,WePlay! Bukovel Minor | Квалификации,Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",ViKin.gg,"['Shad', 'Tobi', 'TANNER', 'Aramis', 'Seleri']","['Chen', 'Io', 'Vengeful Spirit', 'Shadow Fiend', 'Kunkka', 'Batrider']","['Ursa', 'Timbersaw', 'Rubick', 'Phantom Lancer', 'Storm Spirit', 'Alchemist']","['Mars', 'Invoker', 'Enigma', 'Tiny', 'Keeper of the Light']","['Drow Ranger', 'Venomancer', 'Magnus', 'Tusk', 'Crystal Maiden']","<span class=""team__title-label"">Победа</span>",,38 : 35
791,ViKin.gg vs Team Nigma,7.59-1.09,-,8.22-1.06,06 Декабря 19:12 2019,WePlay! Bukovel Minor | Квалификации,ViKin.gg,"['Shad', 'Tobi', 'TANNER', 'Aramis', 'Seleri']",Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Rubick', 'Ursa', 'Io', 'Invoker', 'Timbersaw', 'Shadow Fiend']","['Winter Wyvern', 'Tiny', 'Chen', 'Drow Ranger', 'Storm Spirit', 'Huskar']","['Phantom Assassin', 'Magnus', 'Kunkka', 'Tusk', 'Crystal Maiden']","['Bloodseeker', 'Templar Assassin', 'Underlord', 'Elder Titan', 'Vengeful Spirit']",,"<span class=""team__title-label"">Победа</span>",4 : 23
792,HellRaisers vs Team Spirit,2.55-1.52,-,2.54-1.48,06 Декабря 16:37 2019,WePlay! Bukovel Minor | Квалификации,Team Spirit,"['iLTW', 'Ergon', 'Ghostik', 'Immersion', 'Misha']",HellRaisers,"['837', 'Nix', 'bowbowbow', 'sayuw', 'Miposhka']","['Shadow Fiend', 'Abaddon', 'Doom', 'Timbersaw', 'Rubick', 'Lifestealer']","['Lone Druid', 'Tiny', 'Vengeful Spirit', 'Earth Spirit', 'Juggernaut', 'Bloodseeker']","['Gyrocopter', 'Magnus', 'Batrider', 'Tusk', 'Chen']","['Weaver', 'Viper', 'Centaur Warrunner', 'Winter Wyvern', 'Ogre Magi']",,"<span class=""team__title-label"">Победа</span>",20 : 27
793,HellRaisers vs Team Spirit,2.55-1.52,-,2.54-1.48,06 Декабря 16:37 2019,WePlay! Bukovel Minor | Квалификации,Team Spirit,"['iLTW', 'Ergon', 'Ghostik', 'Immersion', 'Misha']",HellRaisers,"['837', 'Nix', 'bowbowbow', 'sayuw', 'Miposhka']","['Viper', 'Abaddon', 'Shadow Fiend', 'Timbersaw', 'Winter Wyvern', 'Necrophos']","['Lone Druid', 'Tiny', 'Vengeful Spirit', 'Centaur Warrunner', 'Io', 'Rubick']","['Chaos Knight', 'Magnus', 'Beastmaster', 'Crystal Maiden', 'Sven']","['Weaver', 'Alchemist', 'Doom', 'Dazzle', 'Ogre Magi']","<span class=""team__title-label"">Победа</span>",,21 : 2
794,HellRaisers vs Team Spirit,2.55-1.52,-,2.54-1.48,06 Декабря 16:37 2019,WePlay! Bukovel Minor | Квалификации,Team Spirit,"['iLTW', 'Ergon', 'Ghostik', 'Immersion', 'Misha']",HellRaisers,"['837', 'Nix', 'bowbowbow', 'sayuw', 'Miposhka']","['Doom', 'Viper', 'Abaddon', 'Winter Wyvern', 'Rubick', 'Weaver']","['Lone Druid', 'Tiny', 'Vengeful Spirit', 'Beastmaster', 'Batrider', 'Slardar']","['Ember Spirit', 'Shadow Fiend', 'Venomancer', 'Grimstroke', 'Sven']","['Lycan', 'Templar Assassin', 'Brewmaster', 'Crystal Maiden', 'Ogre Magi']",,"<span class=""team__title-label"">Победа</span>",10 : 30
795,HellRaisers vs Team Spirit,2.55-1.52,-,2.54-1.48,06 Декабря 16:37 2019,WePlay! Bukovel Minor | Квалификации,Team Spirit,"['iLTW', 'Ergon', 'Ghostik', 'Immersion', 'Misha']",HellRaisers,"['837', 'Nix', 'bowbowbow', 'sayuw', 'Miposhka']","['Doom', 'Viper', 'Shadow Fiend', 'Ursa', 'Brewmaster', 'Ancient Apparition']","['Lone Druid', 'Tiny', 'Vengeful Spirit', 'Terrorblade', 'Ember Spirit', 'Earth Spirit']","['Sven', 'Huskar', 'Abaddon', 'Crystal Maiden', 'Chen']","['Templar Assassin', 'Sniper', 'Centaur Warrunner', 'Leshrac', 'Ogre Magi']","<span class=""team__title-label"">Победа</span>",,16 : 9
796,HellRaisers vs Team Spirit,2.55-1.52,-,2.54-1.48,06 Декабря 16:37 2019,WePlay! Bukovel Minor | Квалификации,Team Spirit,"['iLTW', 'Ergon', 'Ghostik', 'Immersion', 'Misha']",HellRaisers,"['837', 'Nix', 'bowbowbow', 'sayuw', 'Miposhka']","['Viper', 'Abaddon', 'Templar Assassin', 'Winter Wyvern', 'Brewmaster', 'Ursa']","['Lone Druid', 'Tiny', 'Vengeful Spirit', 'Chen', 'Beastmaster', 'Warlock']","['Sven', 'Shadow Fiend', 'Omniknight', 'Rubick', 'Lich']","['Phantom Assassin', 'Puck', 'Magnus', 'Crystal Maiden', 'Ogre Magi']","<span class=""team__title-label"">Победа</span>",,26 : 11
797,Team Nigma vs Team Singularity,1.09-7.15,-,1.11-6.09,06 Декабря 16:28 2019,WePlay! Bukovel Minor | Квалификации,Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",Team Singularity,"['Zitraks', 'Xcalibur', 'HeStEJoE-RoTTeN', 'eine', 'dnz']","['Dazzle', 'Sven', 'Doom', 'Skywrath Mage', 'Lone Druid', 'Leshrac']","['Tusk', 'Io', 'Windranger', 'Timbersaw', 'Phantom Lancer', 'Faceless Void']","['Ursa', 'Tinker', 'Centaur Warrunner', 'Rubick', 'Vengeful Spirit']","['Terrorblade', 'Zeus', 'Legion Commander', 'Disruptor', 'Grimstroke']","<span class=""team__title-label"">Победа</span>",,33 : 35
798,Team Nigma vs Team Singularity,1.09-7.15,-,1.11-6.09,06 Декабря 16:28 2019,WePlay! Bukovel Minor | Квалификации,Team Singularity,"['Zitraks', 'Xcalibur', 'HeStEJoE-RoTTeN', 'eine', 'dnz']",Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Tusk', 'Io', 'Windranger', 'Shadow Fiend', 'Crystal Maiden', 'Outworld Destroyer']","['Dazzle', 'Sven', 'Doom', 'Skywrath Mage', 'Lone Druid', 'Lycan']","['Razor', 'Templar Assassin', 'Legion Commander', 'Disruptor', 'Grimstroke']","['Ursa', 'Invoker', 'Sand King', 'Rubick', 'Chen']",,"<span class=""team__title-label"">Победа</span>",26 : 33
799,Geek Fam vs Cignal Ultra,1.18-4.96,-,1.14-5.19,06 Декабря 11:34 2019,WePlay! Bukovel Minor | Квалификации,Cignal Ultra,"['Nando', 'Jamesy', 'Van', 'Erice', 'Grimzx']",Geek Fam,"['Raven', '747', 'Kuku', 'Xepher', 'DuBu']","['Puck', 'Kunkka', 'Tiny', 'Chen', 'Phantom Lancer', 'Legion Commander']","['Lina', 'Faceless Void', 'Vengeful Spirit', 'Queen of Pain', 'Drow Ranger', 'Broodmother']","['Gyrocopter', 'Dragon Knight', 'Centaur Warrunner', 'Venomancer', 'Elder Titan']","['Lifestealer', 'Razor', 'Abaddon', 'Rubick', 'Batrider']",,"<span class=""team__title-label"">Победа</span>",16 : 31
800,Geek Fam vs Cignal Ultra,1.18-4.96,-,1.14-5.19,06 Декабря 11:34 2019,WePlay! Bukovel Minor | Квалификации,Cignal Ultra,"['Nando', 'Jamesy', 'Van', 'Erice', 'Grimzx']",Geek Fam,"['Raven', '747', 'Kuku', 'Xepher', 'DuBu']","['Kunkka', 'Tiny', 'Puck', 'Queen of Pain', 'Beastmaster', 'Omniknight']","['Lina', 'Faceless Void', 'Vengeful Spirit', 'Centaur Warrunner', 'Phantom Lancer', 'Batrider']","['Leshrac', 'Razor', 'Legion Commander', ""Nature's Prophet"", 'Elder Titan']","['Gyrocopter', 'Drow Ranger', 'Sand King', 'Rubick', 'Undying']",,"<span class=""team__title-label"">Победа</span>",17 : 35
801,Geek Fam vs Cignal Ultra,1.18-4.96,-,1.14-5.19,06 Декабря 11:34 2019,WePlay! Bukovel Minor | Квалификации,Cignal Ultra,"['Nando', 'Jamesy', 'Van', 'Erice', 'Grimzx']",Geek Fam,"['Raven', '747', 'Kuku', 'Xepher', 'DuBu']","['Puck', 'Kunkka', 'Tiny', 'Queen of Pain', 'Gyrocopter', 'Sand King']","['Lina', 'Faceless Void', 'Vengeful Spirit', 'Phantom Lancer', 'Centaur Warrunner', 'Broodmother']","['Luna', 'Razor', 'Legion Commander', 'Skywrath Mage', 'Undying']","['Drow Ranger', 'Outworld Destroyer', 'Omniknight', 'Rubick', 'Bane']",,"<span class=""team__title-label"">Победа</span>",23 : 35
802,CDEC Gaming vs Royal Never Give Up,1.73-2.13,-,1.71-2.06,06 Декабря 10:10 2019,WePlay! Bukovel Minor | Квалификации,CDEC Gaming,"['James', 'Xm', 'Inflame', '起风了', 'Monet']",Royal Never Give Up,"['Flyby', 'September', 'Super']","['Tiny', 'Legion Commander', 'Crystal Maiden', 'Night Stalker', 'Outworld Destroyer', 'Sand King']","['Puck', 'Keeper of the Light', 'Abaddon', 'Gyrocopter', 'Leshrac', 'Pugna']","['Rubick', 'Death Prophet', 'Omniknight', 'Disruptor', 'Razor']","['Necrophos', 'Lina', 'Elder Titan']",,"<span class=""team__title-label"">Победа</span>",3 : 17
803,CDEC Gaming vs Royal Never Give Up,1.73-2.13,-,1.71-2.06,06 Декабря 10:10 2019,WePlay! Bukovel Minor | Квалификации,CDEC Gaming,"['James', 'Xm', 'Inflame', '起风了', 'Monet']",Royal Never Give Up,"['Flyby', 'September', 'Super']","['Elder Titan', 'Tiny', 'Night Stalker', 'Outworld Destroyer', 'Faceless Void', 'Broodmother']","['Puck', 'Keeper of the Light', 'Lina', 'Undying', 'Razor', 'Leshrac']","['Tusk', 'Viper', ""Nature's Prophet"", 'Crystal Maiden', 'Slark']","['Omniknight', 'Rubick', 'Ancient Apparition']",,"<span class=""team__title-label"">Победа</span>",16 : 23
804,CDEC Gaming vs Royal Never Give Up,1.73-2.13,-,1.71-2.06,06 Декабря 10:10 2019,WePlay! Bukovel Minor | Квалификации,CDEC Gaming,"['James', 'Xm', 'Inflame', '起风了', 'Monet']",Royal Never Give Up,"['Flyby', 'September', 'Super']","['Tiny', 'Elder Titan', 'Omniknight', 'Naga Siren', 'Slark', 'Warlock']","['Puck', 'Keeper of the Light', 'Abaddon', 'Gyrocopter', 'Faceless Void', 'Batrider']","['Night Stalker', 'Winter Wyvern', 'Venomancer', 'Crystal Maiden', 'Lycan']","['Legion Commander', 'Rubick', 'Dazzle']",,"<span class=""team__title-label"">Победа</span>",27 : 42
805,Cignal Ultra vs OB Esports x Neon,1.62-2.32,-,1.48-2.54,06 Декабря 08:05 2019,WePlay! Bukovel Minor | Квалификации,Cignal Ultra,"['Nando', 'Jamesy', 'Van', 'Erice', 'Grimzx']",OB Esports x Neon,"['skem', 'Yopaj', 'Rapy', 'PlayHard', 'Rr']","['Kunkka', 'Venomancer', 'Puck', 'Templar Assassin', 'Magnus', 'Meepo']","['Razor', 'Gyrocopter', 'Faceless Void', 'Troll Warlord', 'Elder Titan', 'Timbersaw']","['Luna', 'Outworld Destroyer', 'Centaur Warrunner', 'Rubick', 'Undying']","['Dragon Knight', 'Tiny', 'Beastmaster', 'Lina', 'Vengeful Spirit']","<span class=""team__title-label"">Победа</span>",,17 : 21
806,Cignal Ultra vs OB Esports x Neon,1.62-2.32,-,1.48-2.54,06 Декабря 08:05 2019,WePlay! Bukovel Minor | Квалификации,OB Esports x Neon,"['skem', 'Yopaj', 'Rapy', 'PlayHard', 'Rr']",Cignal Ultra,"['Nando', 'Jamesy', 'Van', 'Erice', 'Grimzx']","['Razor', 'Centaur Warrunner', 'Gyrocopter', 'Faceless Void', 'Troll Warlord', 'Phantom Assassin']","['Tiny', 'Kunkka', 'Chen', 'Templar Assassin', 'Puck', 'Outworld Destroyer']","['Drow Ranger', 'Dragon Knight', 'Legion Commander', 'Vengeful Spirit', 'Undying']","['Lifestealer', 'Magnus', 'Ogre Magi', 'Venomancer', 'Elder Titan']","<span class=""team__title-label"">Победа</span>",,32 : 8
807,Cignal Ultra vs OB Esports x Neon,1.62-2.32,-,1.48-2.54,06 Декабря 08:05 2019,WePlay! Bukovel Minor | Квалификации,Cignal Ultra,"['Nando', 'Jamesy', 'Van', 'Erice', 'Grimzx']",OB Esports x Neon,"['skem', 'Yopaj', 'Rapy', 'PlayHard', 'Rr']","['Kunkka', 'Puck', 'Tiny', 'Vengeful Spirit', 'Templar Assassin', 'Lina']","['Razor', 'Gyrocopter', 'Faceless Void', 'Troll Warlord', 'Luna', 'Timbersaw']","['Phantom Lancer', 'Batrider', 'Legion Commander', 'Rubick', 'Undying']","['Drow Ranger', 'Dragon Knight', 'Centaur Warrunner', 'Grimstroke', 'Elder Titan']","<span class=""team__title-label"">Победа</span>",,28 : 14
808,EHOME vs Royal Never Give Up,1.53-2.52,-,1.65-2.18,06 Декабря 07:59 2019,WePlay! Bukovel Minor | Квалификации,EHOME,"['Sylar', 'NothingToSay', 'Faith_bian', 'Monet', 'Flyby']",Royal Never Give Up,"['September', 'Super']","['Io', 'Legion Commander', 'Omniknight', 'Timbersaw', 'Night Stalker', 'Anti-Mage']","['Elder Titan', 'Keeper of the Light', 'Puck', 'Viper', 'Razor', 'Bristleback']","['Lone Druid', 'Slark', 'Tiny', 'Phantom Lancer', 'Doom']","['Crystal Maiden', 'Lich']",,"<span class=""team__title-label"">Победа</span>",13 : 12
809,EHOME vs Royal Never Give Up,1.53-2.52,-,1.65-2.18,06 Декабря 07:59 2019,WePlay! Bukovel Minor | Квалификации,Royal Never Give Up,"['Monet', 'Flyby', 'September', 'Super', 'Sylar']",EHOME,"['NothingToSay', 'Faith_bian']","['Puck', 'Keeper of the Light', 'Tiny', 'Lycan', 'Lone Druid', 'Anti-Mage']","['Elder Titan', 'Io', 'Crystal Maiden', 'Outworld Destroyer', 'Ember Spirit', 'Doom']","['Razor', 'Night Stalker', 'Lina', 'Shadow Demon', 'Luna']","['Kunkka', 'Omniknight']","<span class=""team__title-label"">Победа</span>",,12 : 4
810,Vicious Gaming vs Gorillaz-Pride,1.34-3.02,-,-,06 Декабря 00:35 2019,WePlay! Bukovel Minor | Квалификации,Vicious Gaming,"['House', 'TaO', 'Benjaz', 'Cara', 'never doubt it']",Gorillaz-Pride,"['Yadomi', 'zs', 'Mr.Jeans', 'Drakeel']","['Faceless Void', 'Bloodseeker', 'Ursa', 'Venomancer', 'Night Stalker', 'Puck']","['Leshrac', 'Razor', 'Tinker', 'Omniknight', 'Templar Assassin', 'Beastmaster']","['Rubick', 'Sven', 'Ogre Magi', 'Batrider', 'Troll Warlord']","['Tiny', 'Lina', 'Viper', 'Timbersaw']",,"<span class=""team__title-label"">Победа</span>",25 : 29
811,Vicious Gaming vs Gorillaz-Pride,1.34-3.02,-,-,06 Декабря 00:35 2019,WePlay! Bukovel Minor | Квалификации,Gorillaz-Pride,"['Yadomi', 'never doubt it', 'zs', 'Mr.Jeans', 'Drakeel']",Vicious Gaming,"['House', 'TaO', 'Benjaz', 'Cara']","['Beastmaster', 'Templar Assassin', 'Omniknight', 'Shadow Demon', 'Doom', 'Abaddon']","['Tiny', 'Venomancer', 'Rubick', 'Ursa', 'Timbersaw', 'Troll Warlord']","['Tusk', 'Night Stalker', 'Lina', 'Viper', 'Axe']","['Puck', 'Bloodseeker', 'Centaur Warrunner', 'Ogre Magi']",,"<span class=""team__title-label"">Победа</span>",17 : 35
812,Vicious Gaming vs Gorillaz-Pride,1.34-3.02,-,-,06 Декабря 00:35 2019,WePlay! Bukovel Minor | Квалификации,Gorillaz-Pride,"['Yadomi', 'zs', 'never doubt it', 'Mr.Jeans', 'Drakeel']",Vicious Gaming,"['House', 'TaO', 'Benjaz', 'Cara']","['Beastmaster', 'Alchemist', 'Puck', 'Omniknight', 'Abaddon', 'Keeper of the Light']","['Tiny', 'Venomancer', 'Ursa', 'Viper', 'Huskar', 'Timbersaw']","['Rubick', 'Ogre Magi', 'Bloodseeker', 'Ember Spirit', 'Tidehunter']","['Shadow Demon', 'Night Stalker', 'Centaur Warrunner', 'Crystal Maiden']","<span class=""team__title-label"">Победа</span>",,24 : 12
813,J.Storm vs Fighting PandaS,2.45-1.56,-,4.35-1.19,05 Декабря 23:16 2019,WePlay! Bukovel Minor | Квалификации,Fighting PandaS,"['EternaLEnVy', 'bryle', 'MoonMeander', 'Sneyking', 'Aui_2000']",J.Storm,"['Fear', 'Nine', 'brax', 'Moo', 'MoOz']","['Venomancer', ""Nature's Prophet"", 'Kunkka', 'Broodmother', 'Naga Siren', 'Outworld Destroyer']","['Doom', 'Vengeful Spirit', 'Puck', 'Silencer', 'Shadow Fiend', 'Batrider']","['Drow Ranger', 'Razor', 'Bane', 'Necrophos', 'Tusk']","['Crystal Maiden', 'Queen of Pain', 'Lycan', 'Timbersaw', 'Spirit Breaker']",,"<span class=""team__title-label"">Победа</span>",12 : 35
814,J.Storm vs Fighting PandaS,2.45-1.56,-,4.35-1.19,05 Декабря 23:16 2019,WePlay! Bukovel Minor | Квалификации,Fighting PandaS,"['EternaLEnVy', 'bryle', 'MoonMeander', 'Sneyking', 'Aui_2000']",J.Storm,"['Fear', 'Nine', 'Moo', 'brax', 'MoOz']","[""Nature's Prophet"", 'Venomancer', 'Timbersaw', 'Naga Siren', 'Phantom Lancer', 'Kunkka']","['Doom', 'Vengeful Spirit', 'Abaddon', 'Razor', 'Shadow Fiend', 'Templar Assassin']","['Drow Ranger', 'Dragon Knight', 'Puck', 'Lone Druid', 'Treant Protector']","['Crystal Maiden', 'Storm Spirit', 'Sven', 'Omniknight', 'Spirit Breaker']",,"<span class=""team__title-label"">Победа</span>",6 : 24
815,FURIA Esports vs Vicious Gaming,1.45-2.60,-,1.52-2.43,05 Декабря 22:24 2019,WePlay! Bukovel Minor | Квалификации,FURIA Esports,"['21 21 21', 'RdO-', 'Hyko', 'Duster', 'House']",Vicious Gaming,"['TaO', 'Benjaz', 'Cara']","['Beastmaster', 'Templar Assassin', 'Night Stalker', 'Omniknight', 'Dazzle', 'Razor']","['Magnus', 'Tiny', 'Crystal Maiden', 'Bloodseeker', 'Timbersaw', 'Storm Spirit']","['Monkey King', 'Ursa', 'Puck', 'Winter Wyvern', 'Shadow Demon']","['Doom', 'Sand King', 'Rubick']","<span class=""team__title-label"">Победа</span>",,31 : 14
816,FURIA Esports vs Vicious Gaming,1.45-2.60,-,1.52-2.43,05 Декабря 22:24 2019,WePlay! Bukovel Minor | Квалификации,FURIA Esports,"['21 21 21', 'RdO-', 'Hyko', 'Duster', 'House']",Vicious Gaming,"['TaO', 'Benjaz', 'Cara']","['Beastmaster', 'Templar Assassin', 'Bloodseeker', 'Timbersaw', 'Dazzle', 'Alchemist']","['Puck', 'Magnus', 'Winter Wyvern', 'Tiny', 'Phantom Lancer', 'Kunkka']","['Invoker', 'Naga Siren', 'Elder Titan', 'Crystal Maiden', 'Rubick']","['Ursa', 'Legion Commander', 'Venomancer']","<span class=""team__title-label"">Победа</span>",,24 : 18
817,Ninjas in Pyjamas vs Team Xolotl,1.10-7.02,-,1.12-5.81,05 Декабря 22:20 2019,WePlay! Bukovel Minor | Квалификации,Team Xolotl,"['peruvian by day russian by night', 'Ifrit', 'esK', 'Jano', 'Raykill']",Ninjas in Pyjamas,"['ppd', 'Skiter', 'Gunnar', 'Universe']","['Lina', 'Batrider', 'Venomancer', 'Troll Warlord', 'Ursa', 'Invoker']","['Crystal Maiden', 'Chen', 'Puck', 'Night Stalker', 'Razor', 'Meepo']","['Keeper of the Light', 'Gyrocopter', 'Templar Assassin', 'Abaddon', 'Disruptor']","[""Nature's Prophet"", 'Morphling', 'Tiny', 'Doom']",,"<span class=""team__title-label"">Победа</span>",2 : 18
818,Ninjas in Pyjamas vs Team Xolotl,1.10-7.02,-,1.12-5.81,05 Декабря 22:20 2019,WePlay! Bukovel Minor | Квалификации,Team Xolotl,"['peruvian by day russian by night', 'Ifrit', 'esK', 'Jano', 'Raykill']",Ninjas in Pyjamas,"['ppd', 'Skiter', 'Gunnar', 'Universe']","[""Nature's Prophet"", 'Venomancer', 'Doom', 'Batrider', 'Alchemist', 'Tiny']","['Chen', 'Crystal Maiden', 'Puck', 'Razor', 'Gyrocopter', 'Templar Assassin']","['Enchantress', 'Naga Siren', 'Huskar', 'Sand King', 'Rubick']","['Witch Doctor', 'Anti-Mage', 'Magnus', 'Abaddon']",,"<span class=""team__title-label"">Победа</span>",6 : 24
