,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
1420,Team Nigma vs Team Liquid,1.37-3.17,-,1.31-3.26,26 Апреля 14:09 2020,WePlay! Pushka League Season 1: Division 1,Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']","['Bristleback', 'Lycan', 'Timbersaw', 'Oracle', 'Dark Willow', 'Morphling']","[""Nature's Prophet"", 'Io', 'Tusk', 'Pugna', 'Batrider', 'Dark Seer']","['Templar Assassin', 'Ember Spirit', 'Winter Wyvern', 'Clockwerk', 'Lich']","['Monkey King', 'Lone Druid', 'Mars', 'Shadow Demon', 'Keeper of the Light']",,"<span class=""team__title-label"">Победа</span>",33 : 54
1421,Fnatic vs TNC Predator,1.26-3.93,-,1.30-3.38,26 Апреля 11:34 2020,BTS Pro Series,Fnatic,"['23savage', 'Moon', 'iceiceice', 'Jabz', 'DJ']",TNC Predator,"['March', 'Gabbi', 'Armel', 'kpii', 'Tims']","['Bounty Hunter', 'Beastmaster', 'Troll Warlord', 'Ancient Apparition', 'Lycan', 'Legion Commander']","['Ember Spirit', 'Timbersaw', 'Earthshaker', 'Faceless Void', 'Death Prophet', 'Slark']","['Alchemist', 'Batrider', 'Chen', 'Pugna', 'Nyx Assassin']","['Oracle', 'Templar Assassin', 'Mirana', 'Bristleback', 'Keeper of the Light']","<span class=""team__title-label"">Победа</span>",,14 : 3
1422,Fnatic vs TNC Predator,1.26-3.93,-,1.30-3.38,26 Апреля 11:34 2020,BTS Pro Series,TNC Predator,"['March', 'Gabbi', 'Armel', 'kpii', 'Tims']",Fnatic,"['23savage', 'Moon', 'iceiceice', 'Jabz', 'DJ']","['Pugna', 'Earthshaker', 'Batrider', 'Alchemist', 'Lycan', 'Riki']","['Bounty Hunter', 'Keeper of the Light', 'Troll Warlord', 'Ancient Apparition', 'Monkey King', 'Slark']","['Chen', 'Silencer', 'Morphling', 'Legion Commander', 'Mirana']","['Phantom Assassin', 'Ember Spirit', 'Timbersaw', 'Winter Wyvern', 'Tusk']",,"<span class=""team__title-label"">Победа</span>",19 : 27
1423,Fnatic vs TNC Predator,1.26-3.93,-,1.30-3.38,26 Апреля 11:34 2020,BTS Pro Series,Fnatic,"['23savage', 'Moon', 'iceiceice', 'Jabz', 'DJ']",TNC Predator,"['March', 'Gabbi', 'Armel', 'kpii', 'Tims']","['Bounty Hunter', 'Ancient Apparition', 'Troll Warlord', 'Keeper of the Light', 'Beastmaster', 'Gyrocopter']","['Earthshaker', 'Batrider', 'Alchemist', 'Pugna', 'Faceless Void', 'Timbersaw']","['Lycan', 'Ember Spirit', ""Nature's Prophet"", 'Snapfire', 'Elder Titan']","['Chen', 'Bristleback', 'Death Prophet', 'Underlord', 'Tusk']","<span class=""team__title-label"">Победа</span>",,25 : 6
1424,Keen Gaming vs Team Aster,3.57-1.30,-,4.64-1.17,26 Апреля 11:08 2020,China Dota2 Professional League Season 2,Team Aster,"['Sccc', 'CHYuan', 'Xxs', 'Fade', 'Borax']",Keen Gaming,"['poyoyo', 'Blood', '毁灭企鹅', 'xiaofu', 'Siamese.C']","['Death Prophet', 'Keeper of the Light', 'Mars', 'Centaur Warrunner', 'Lycan', 'Underlord']","['Timbersaw', 'Ancient Apparition', 'Naga Siren', 'Pangolier', 'Morphling', 'Phantom Lancer']","['Monkey King', 'Dragon Knight', ""Nature's Prophet"", 'Shadow Shaman', 'Silencer']","['Terrorblade', 'Void Spirit', 'Clockwerk', 'Enigma', 'Shadow Demon']",,"<span class=""team__title-label"">Победа</span>",25 : 31
1425,Keen Gaming vs Team Aster,3.57-1.30,-,4.64-1.17,26 Апреля 11:08 2020,China Dota2 Professional League Season 2,Keen Gaming,"['poyoyo', 'Blood', '毁灭企鹅', 'Siamese.C', 'xiaofu']",Team Aster,"['Sccc', 'CHYuan', 'Xxs', 'Borax', 'Fade']","['Ancient Apparition', 'Timbersaw', 'Pangolier', 'Naga Siren', 'Monkey King', 'Kunkka']","['Keeper of the Light', 'Death Prophet', 'Void Spirit', 'Morphling', 'Razor', 'Underlord']","['Wraith King', 'Dragon Knight', 'Winter Wyvern', 'Shadow Demon', 'Brewmaster']","['Gyrocopter', 'Ember Spirit', 'Mars', 'Io', 'Rubick']",,"<span class=""team__title-label"">Победа</span>",20 : 36
1426,Keen Gaming vs Team Aster,3.57-1.30,-,4.64-1.17,26 Апреля 11:08 2020,China Dota2 Professional League Season 2,Team Aster,"['Sccc', 'CHYuan', 'Xxs', 'Borax', 'Fade']",Keen Gaming,"['poyoyo', 'Blood', '毁灭企鹅', 'xiaofu', 'Siamese.C']","['Keeper of the Light', 'Shadow Demon', 'Death Prophet', 'Ancient Apparition', 'Terrorblade', 'Ember Spirit']","['Io', 'Pangolier', 'Timbersaw', 'Oracle', 'Phantom Lancer', 'Troll Warlord']","['Dragon Knight', 'Templar Assassin', 'Brewmaster', ""Nature's Prophet"", 'Tusk']","['Luna', 'Shadow Fiend', 'Phoenix', 'Mars', 'Bane']","<span class=""team__title-label"">Победа</span>",,28 : 16
1427,TNC Predator vs Geek Fam,1.51-2.59,-,1.50-2.48,26 Апреля 09:06 2020,BTS Pro Series,Geek Fam,"['Raven', 'Karl', 'Kuku', 'Xepher', 'Whitemon']",TNC Predator,"['March', 'Gabbi', 'Armel', 'kpii', 'Tims']","['Chen', 'Bounty Hunter', 'Timbersaw', 'Mirana', 'Centaur Warrunner', 'Queen of Pain']","['Tusk', 'Pugna', 'Batrider', 'Ember Spirit', 'Razor', 'Mars']","['Terrorblade', 'Void Spirit', 'Death Prophet', 'Earthshaker', 'Lich']","['Oracle', 'Troll Warlord', ""Nature's Prophet"", 'Necrophos', 'Clockwerk']",,"<span class=""team__title-label"">Победа</span>",26 : 24
1428,TNC Predator vs Geek Fam,1.51-2.59,-,1.50-2.48,26 Апреля 09:06 2020,BTS Pro Series,Geek Fam,"['Raven', 'Karl', 'Kuku', 'Xepher', 'Whitemon']",TNC Predator,"['March', 'Gabbi', 'Armel', 'kpii', 'Tims']","['Chen', 'Bounty Hunter', 'Oracle', 'Timbersaw', 'Centaur Warrunner', 'Kunkka']","['Tusk', 'Batrider', 'Death Prophet', 'Ember Spirit', 'Faceless Void', 'Storm Spirit']","['Riki', 'Lina', 'Beastmaster', 'Pugna', 'Grimstroke']","['Io', 'Gyrocopter', 'Dragon Knight', 'Legion Commander', 'Mirana']",,"<span class=""team__title-label"">Победа</span>",16 : 17
1429,ViKin.gg vs Kill Steal Kommando,1.03-12.94,-,1.06-8.22,25 Апреля 23:20 2020,WePlay! Pushka League Season 1: Division 2,ViKin.gg,"['Shad', 'BOOM', 'Tobi', 'Aramis', 'Seleri']",Kill Steal Kommando,"['Lowskill', 'Copy', 'Solar', 'worst one', 'Filminy']","['Ember Spirit', ""Nature's Prophet"", 'Phoenix', 'Earthshaker', 'Grimstroke', 'Necrophos']","['Beastmaster', 'Mars', 'Timbersaw', 'Lycan', 'Queen of Pain', 'Batrider']","['Void Spirit', 'Dragon Knight', 'Legion Commander', 'Earth Spirit', 'Chen']","['Bristleback', 'Storm Spirit', 'Venomancer', 'Tusk', 'Keeper of the Light']","<span class=""team__title-label"">Победа</span>",,48 : 43
